player,opponent,surface,line,tournament,best_of,directions
Ben Shelton,Dane Sweeny,HARD,14.5,Australian Open,5,OVER
Hubert Hurkacz,Ethan Quinn,HARD,28.5,Australian Open,5,OVER
Taylor Fritz,Vit Kopriva,HARD,17.5,Australian Open,5,OVER|UNDER
Madison Keys,Ashlyn Krueger,HARD,5.5,Australian Open,3,OVER
Karen Khachanov,Nishesh Basavareddy,HARD,16.5,Australian Open,5,OVER
Denis Shapovalov,Marin Cilic,HARD,15.5,Australian Open,5,OVER
Stefanos Tsitsipas,Tomas Machac,HARD,12.5,Australian Open,5,OVER
Jakub Mensik,Rafael Jodar,HARD,21.5,Australian Open,5,OVER
Daniil Medvedev,Fabian Marozsan,HARD,12.5,Australian Open,5,OVER
Carlos Alcaraz,Corentin Moutet,HARD,8.5,Australian Open,5,OVER
Jannik Sinner,James Duckworth,HARD,10.5,Australian Open,5,OVER|UNDER
Elena Rybakina,Varvara Gracheva,HARD,5.5,Australian Open,3,OVER
Naomi Osaka,Sorana Cirstea,HARD,7.5,Australian Open,3,OVER
