match_id,player_1,player_2,tournament,surface,format,total_games_line,expected_games,delta,direction,confidence,block_reason,timestamp
f3403ac4,Novak Djokovic,Francesco Maestrelli,Australian Open,HARD,Bo3,28.5,26.73,-1.77,UNDER,LEAN,,2026-01-21T11:12:27.728846Z
23c110d9,Jannik Sinner,James Duckworth,Australian Open,HARD,Bo3,26.5,26.73,0.23,,NO_PLAY,,2026-01-21T11:12:27.728846Z
001f1696,Carlos Alcaraz,Corentin Moutet,Australian Open,HARD,Bo3,28.5,26.73,-1.77,UNDER,LEAN,,2026-01-21T11:12:27.728846Z
8f805035,Taylor Fritz,Vit Kopriva,Australian Open,HARD,Bo3,31.5,26.73,-4.77,UNDER,STRONG,,2026-01-21T11:12:27.728846Z
357a41a0,Ben Shelton,Dane Sweeny,Australian Open,HARD,Bo3,32.5,26.73,-5.77,UNDER,STRONG,,2026-01-21T11:12:27.728846Z
e3457aec,Elena Rybakina,Varvara Gracheva,Australian Open,HARD,Bo3,17.5,21.78,4.28,OVER,STRONG,,2026-01-21T11:12:27.728846Z
1b4eea70,Iga Swiatek,Marie Bouzkova,Australian Open,HARD,Bo3,18.5,21.78,3.28,OVER,STRONG,,2026-01-21T11:12:27.728846Z
dcc834dc,Belinda Bencic,Nikola Bartunkova,Australian Open,HARD,Bo3,18.5,21.78,3.28,OVER,STRONG,,2026-01-21T11:12:27.728846Z
e2c09eaf,Denis Shapovalov,Marin Cilic,Australian Open,HARD,Bo5,39.5,41.58,2.08,OVER,LEAN,,2026-01-21T11:12:27.728846Z
48ea5853,Andrey Rublev,Francisco Cerundolo,Australian Open,HARD,Bo5,40.5,41.58,1.08,,NO_PLAY,,2026-01-21T11:12:27.728846Z
