player_1,player_2,total_games_line,tournament,surface
Novak Djokovic,Francesco Maestrelli,28.5,Australian Open,
Jannik Sinner,James Duckworth,26.5,Australian Open,
Carlos Alcaraz,Corentin Moutet,28.5,Australian Open,
Taylor Fritz,Vit Kopriva,31.5,Australian Open,
Ben Shelton,Dane Sweeny,32.5,Australian Open,
Elena Rybakina,Varvara Gracheva,17.5,Australian Open,
Iga Swiatek,Marie Bouzkova,18.5,Australian Open,
Belinda Bencic,Nikola Bartunkova,18.5,Australian Open,
Denis Shapovalov,Marin Cilic,39.5,Australian Open,
Andrey Rublev,Francisco Cerundolo,40.5,Australian Open,
